utc,window_index,chunk_index,node_index,answer,seconds,fixed_count,fixed_signature,reason
2026-05-02T14:29:47+00:00,0,30,4860,unsat,1.07,9,"12=0,13=2,14=0,15=0,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:29:48+00:00,0,30,4861,unsat,0.454,9,"12=1,13=2,14=0,15=0,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:29:48+00:00,0,30,4862,unsat,0.263,9,"12=2,13=2,14=0,15=0,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:29:50+00:00,0,30,4863,unsat,1.543,9,"12=0,13=0,14=1,15=0,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:29:50+00:00,0,30,4864,unsat,0.8,9,"12=1,13=0,14=1,15=0,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:29:51+00:00,0,30,4865,unsat,0.88,9,"12=2,13=0,14=1,15=0,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:29:51+00:00,0,30,4866,unsat,0.235,9,"12=0,13=1,14=1,15=0,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:29:52+00:00,0,30,4867,unsat,0.637,9,"12=1,13=1,14=1,15=0,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:29:52+00:00,0,30,4868,unsat,0.011,9,"12=2,13=1,14=1,15=0,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:29:53+00:00,0,30,4869,unsat,1.333,9,"12=0,13=2,14=1,15=0,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:29:54+00:00,0,30,4870,unsat,0.15,9,"12=1,13=2,14=1,15=0,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:29:54+00:00,0,30,4871,unsat,0.434,9,"12=2,13=2,14=1,15=0,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:29:56+00:00,0,30,4872,unsat,1.534,9,"12=0,13=0,14=2,15=0,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:29:57+00:00,0,30,4873,unsat,0.993,9,"12=1,13=0,14=2,15=0,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:29:57+00:00,0,30,4874,unsat,0.594,9,"12=2,13=0,14=2,15=0,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:29:58+00:00,0,30,4875,unsat,0.735,9,"12=0,13=1,14=2,15=0,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:29:58+00:00,0,30,4876,unsat,0.374,9,"12=1,13=1,14=2,15=0,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:29:59+00:00,0,30,4877,unsat,0.339,9,"12=2,13=1,14=2,15=0,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:29:59+00:00,0,30,4878,unsat,0.886,9,"12=0,13=2,14=2,15=0,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:29:59+00:00,0,30,4879,unsat,0.037,9,"12=1,13=2,14=2,15=0,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:00+00:00,0,30,4880,unsat,0.377,9,"12=2,13=2,14=2,15=0,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:01+00:00,0,30,4881,unsat,0.891,9,"12=0,13=0,14=0,15=1,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:01+00:00,0,30,4882,unsat,0.543,9,"12=1,13=0,14=0,15=1,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:02+00:00,0,30,4883,unsat,0.873,9,"12=2,13=0,14=0,15=1,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:03+00:00,0,30,4884,unsat,0.425,9,"12=0,13=1,14=0,15=1,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:04+00:00,0,30,4885,unsat,1.222,9,"12=1,13=1,14=0,15=1,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:04+00:00,0,30,4886,unsat,0.4,9,"12=2,13=1,14=0,15=1,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:04+00:00,0,30,4887,unsat,0.209,9,"12=0,13=2,14=0,15=1,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:05+00:00,0,30,4888,unsat,1.031,9,"12=1,13=2,14=0,15=1,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:06+00:00,0,30,4889,unsat,0.754,9,"12=2,13=2,14=0,15=1,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:08+00:00,0,30,4890,unsat,1.982,9,"12=0,13=0,14=1,15=1,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:10+00:00,0,30,4891,unsat,1.329,9,"12=1,13=0,14=1,15=1,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:11+00:00,0,30,4892,unsat,1.077,9,"12=2,13=0,14=1,15=1,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:11+00:00,0,30,4893,unsat,0.416,9,"12=0,13=1,14=1,15=1,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:13+00:00,0,30,4894,unsat,1.995,9,"12=1,13=1,14=1,15=1,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:13+00:00,0,30,4895,unsat,0.141,9,"12=2,13=1,14=1,15=1,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:14+00:00,0,30,4896,unsat,0.737,9,"12=0,13=2,14=1,15=1,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:14+00:00,0,30,4897,unsat,0.191,9,"12=1,13=2,14=1,15=1,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:14+00:00,0,30,4898,unsat,0.384,9,"12=2,13=2,14=1,15=1,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:17+00:00,0,30,4899,unsat,2.73,9,"12=0,13=0,14=2,15=1,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:21+00:00,0,30,4900,unsat,3.839,9,"12=1,13=0,14=2,15=1,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:23+00:00,0,30,4901,unsat,1.651,9,"12=2,13=0,14=2,15=1,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:24+00:00,0,30,4902,unsat,1.131,9,"12=0,13=1,14=2,15=1,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:26+00:00,0,30,4903,unsat,1.915,9,"12=1,13=1,14=2,15=1,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:26+00:00,0,30,4904,unsat,0.17,9,"12=2,13=1,14=2,15=1,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:27+00:00,0,30,4905,unsat,1.45,9,"12=0,13=2,14=2,15=1,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:27+00:00,0,30,4906,unsat,0.019,9,"12=1,13=2,14=2,15=1,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:28+00:00,0,30,4907,unsat,0.762,9,"12=2,13=2,14=2,15=1,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:28+00:00,0,30,4908,unsat,0.096,9,"12=0,13=0,14=0,15=2,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:28+00:00,0,30,4909,unsat,0.011,9,"12=1,13=0,14=0,15=2,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:28+00:00,0,30,4910,unsat,0.005,9,"12=2,13=0,14=0,15=2,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:28+00:00,0,30,4911,unsat,0.003,9,"12=0,13=1,14=0,15=2,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:28+00:00,0,30,4912,unsat,0.025,9,"12=1,13=1,14=0,15=2,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:28+00:00,0,30,4913,unsat,0.035,9,"12=2,13=1,14=0,15=2,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:28+00:00,0,30,4914,unsat,0.042,9,"12=0,13=2,14=0,15=2,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:28+00:00,0,30,4915,unsat,0.049,9,"12=1,13=2,14=0,15=2,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:28+00:00,0,30,4916,unsat,0.035,9,"12=2,13=2,14=0,15=2,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:28+00:00,0,30,4917,unsat,0.013,9,"12=0,13=0,14=1,15=2,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:28+00:00,0,30,4918,unsat,0.003,9,"12=1,13=0,14=1,15=2,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:28+00:00,0,30,4919,unsat,0.003,9,"12=2,13=0,14=1,15=2,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:28+00:00,0,30,4920,unsat,0.003,9,"12=0,13=1,14=1,15=2,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:28+00:00,0,30,4921,unsat,0.003,9,"12=1,13=1,14=1,15=2,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:28+00:00,0,30,4922,unsat,0.003,9,"12=2,13=1,14=1,15=2,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:28+00:00,0,30,4923,unsat,0.003,9,"12=0,13=2,14=1,15=2,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:28+00:00,0,30,4924,unsat,0.003,9,"12=1,13=2,14=1,15=2,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:28+00:00,0,30,4925,unsat,0.002,9,"12=2,13=2,14=1,15=2,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:28+00:00,0,30,4926,unsat,0.003,9,"12=0,13=0,14=2,15=2,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:28+00:00,0,30,4927,unsat,0.002,9,"12=1,13=0,14=2,15=2,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:29+00:00,0,30,4928,unsat,0.002,9,"12=2,13=0,14=2,15=2,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:29+00:00,0,30,4929,unsat,0.002,9,"12=0,13=1,14=2,15=2,16=0,17=2,18=0,19=2,20=0",
2026-05-02T14:30:29+00:00,0,30,4930,unsat,0.002,9,"12=1,13=1,14=2,15=2,16=0,17=2,18=0,19=2,20=0",
